epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2080.41,1.03972,2.41654,0.85187,1.2161,0.80068,0.61515,0.72149,0.45446,0.77907,0.59242,0.66877,0.34106,1.29834,2.84443,1.00568,1.45082,0.0008912,0.0008912,0.0008912
58,2116.76,1.00815,2.36661,0.82244,1.19855,0.77908,0.60303,0.70667,0.45025,0.78587,0.56667,0.6562,0.3388,1.31473,2.89071,1.01135,1.46122,0.0008714,0.0008714,0.0008714
59,2152.75,1.02175,2.36524,0.82049,1.20494,0.79539,0.62121,0.72119,0.45393,0.78776,0.58258,0.65739,0.34095,1.30275,2.84028,1.00547,1.44405,0.0008516,0.0008516,0.0008516
60,2188.82,1.01145,2.35529,0.81249,1.19725,0.75399,0.64083,0.71032,0.45447,0.75312,0.59242,0.64987,0.33489,1.29627,2.81169,0.98594,1.44897,0.0008318,0.0008318,0.0008318
61,2225.2,1.00908,2.333,0.80854,1.20347,0.78972,0.62024,0.70888,0.44933,0.79514,0.5822,0.65281,0.34254,1.32192,2.84847,1.00739,1.45866,0.000812,0.000812,0.000812
62,2261.69,0.99118,2.31252,0.79282,1.18909,0.76995,0.63136,0.70979,0.4462,0.76807,0.58204,0.64937,0.32909,1.29926,2.88158,1.00521,1.45118,0.0007922,0.0007922,0.0007922
63,2297.64,0.99491,2.33182,0.80245,1.19037,0.78716,0.61667,0.70781,0.44958,0.81377,0.56667,0.65705,0.33889,1.30945,2.88775,0.98922,1.45114,0.0007724,0.0007724,0.0007724
64,2333.85,0.98356,2.29355,0.79222,1.18548,0.79321,0.60732,0.71462,0.44468,0.77692,0.57348,0.65337,0.33762,1.32498,2.88984,0.98617,1.477,0.0007526,0.0007526,0.0007526
65,2369.89,0.99625,2.30804,0.79546,1.18218,0.77782,0.6206,0.71105,0.44392,0.79438,0.57658,0.65129,0.33327,1.31726,2.86134,0.99823,1.4614,0.0007328,0.0007328,0.0007328
66,2406.51,0.98322,2.28183,0.77913,1.17756,0.79055,0.62049,0.71683,0.45304,0.79021,0.5803,0.65931,0.33841,1.3069,2.87472,0.99447,1.45723,0.000713,0.000713,0.000713
67,2442.88,0.97009,2.26781,0.76227,1.17578,0.79875,0.61439,0.71607,0.45631,0.78295,0.58712,0.66483,0.34248,1.30075,2.87611,0.98514,1.44971,0.0006932,0.0006932,0.0006932
68,2479.12,0.98158,2.29008,0.77252,1.17225,0.78927,0.62422,0.721,0.45612,0.76549,0.59394,0.65882,0.34255,1.29292,2.87537,0.97936,1.43121,0.0006734,0.0006734,0.0006734
69,2515.17,0.96909,2.2791,0.77731,1.16623,0.76727,0.63409,0.71169,0.4505,0.75003,0.60919,0.65777,0.341,1.29878,2.87946,0.98929,1.44645,0.0006536,0.0006536,0.0006536
70,2551.77,0.96734,2.24869,0.75399,1.16423,0.79022,0.62497,0.71948,0.45751,0.78121,0.6,0.66437,0.3489,1.29711,2.82656,0.97466,1.44765,0.0006338,0.0006338,0.0006338
71,2588.14,0.97076,2.24914,0.76134,1.17105,0.78817,0.63712,0.71829,0.45166,0.78236,0.60152,0.66866,0.34636,1.30666,2.84705,0.97199,1.45229,0.000614,0.000614,0.000614
72,2624.22,0.94975,2.24645,0.75038,1.16203,0.79088,0.63106,0.71872,0.45791,0.79143,0.59794,0.66002,0.34419,1.29797,2.84061,0.95834,1.4413,0.0005942,0.0005942,0.0005942
73,2660.31,0.96294,2.24278,0.74819,1.1659,0.77774,0.61212,0.70677,0.45065,0.75582,0.58561,0.65306,0.34582,1.30268,2.86312,1.01434,1.45026,0.0005744,0.0005744,0.0005744
74,2696.5,0.93883,2.20854,0.74399,1.15716,0.81704,0.61364,0.71955,0.45602,0.81779,0.57348,0.66239,0.34035,1.29357,2.85754,0.97577,1.4337,0.0005546,0.0005546,0.0005546
75,2732.76,0.93973,2.22079,0.72783,1.15052,0.77719,0.63788,0.71537,0.44987,0.79071,0.59015,0.66086,0.33837,1.31322,2.88572,0.9686,1.45817,0.0005348,0.0005348,0.0005348
76,2768.98,0.9411,2.21254,0.71944,1.15638,0.76547,0.63939,0.71861,0.45598,0.77399,0.59621,0.65678,0.34323,1.30778,2.85467,0.96942,1.461,0.000515,0.000515,0.000515
77,2805.04,0.93133,2.22038,0.72456,1.15092,0.80168,0.60909,0.70899,0.45091,0.80014,0.57628,0.65402,0.34258,1.32271,2.862,1.00524,1.4668,0.0004952,0.0004952,0.0004952
78,2840.9,0.93067,2.18283,0.71009,1.14171,0.8155,0.61948,0.7224,0.45929,0.79683,0.59394,0.66721,0.34742,1.29988,2.83504,0.96813,1.44409,0.0004754,0.0004754,0.0004754
79,2877.57,0.93406,2.18485,0.71158,1.14655,0.82495,0.6105,0.72389,0.46252,0.80907,0.57652,0.6622,0.34773,1.28294,2.84038,0.95045,1.42513,0.0004556,0.0004556,0.0004556
80,2914.14,0.92582,2.18706,0.71055,1.1456,0.82738,0.61001,0.71971,0.45741,0.7997,0.58258,0.66166,0.34681,1.28821,2.84367,0.9697,1.43559,0.0004358,0.0004358,0.0004358
81,2949.95,0.91958,2.18066,0.69518,1.14403,0.8116,0.60152,0.71867,0.45307,0.78964,0.58298,0.66133,0.34055,1.30295,2.85808,0.96566,1.44185,0.000416,0.000416,0.000416
82,2986.34,0.92461,2.16929,0.69359,1.13258,0.78516,0.63679,0.72447,0.45934,0.7763,0.61518,0.67045,0.3463,1.28957,2.86085,0.94924,1.43498,0.0003962,0.0003962,0.0003962
83,3022.47,0.91241,2.16614,0.69724,1.13605,0.77353,0.62727,0.71876,0.45416,0.7679,0.60155,0.66737,0.34421,1.29499,2.82905,0.96221,1.43786,0.0003764,0.0003764,0.0003764
84,3058.99,0.90302,2.12736,0.68092,1.12469,0.7872,0.63336,0.71576,0.45512,0.78134,0.59555,0.66252,0.34094,1.30879,2.85641,0.96592,1.4571,0.0003566,0.0003566,0.0003566
